alpha,beta,chain
-0.18588763,-0.0067994907,chain_0
-0.1855811,-0.008143637,chain_0
-0.21000393,-0.0057245865,chain_0
-0.18686557,-0.008466277,chain_0
-0.19070259,-0.004416711,chain_0
-0.18755582,-0.007556927,chain_0
-0.19153214,-0.0037358217,chain_0
-0.18282972,-0.0061732456,chain_0
-0.19838804,-0.009071238,chain_0
-0.19473739,-0.008708587,chain_0
-0.18975663,-0.004719004,chain_0
-0.19079107,-0.0048458707,chain_0
-0.18715757,-0.009018794,chain_0
-0.19146515,-0.0066523496,chain_0
-0.18051673,-0.008129523,chain_0
-0.18845573,-0.005815003,chain_0
-0.1978101,-0.008254737,chain_0
-0.17210054,-0.009696692,chain_0
-0.18007313,-0.007689287,chain_0
-0.1911377,-0.0060791583,chain_0
-0.18367368,-0.005915032,chain_0
-0.1864146,-0.0078032254,chain_0
-0.1872027,-0.009989811,chain_0
-0.19950625,-0.0091185495,chain_0
-0.17639104,-0.0053344597,chain_0
-0.20640774,-0.008104389,chain_0
-0.18131065,-0.005235108,chain_0
-0.19166173,-0.010045173,chain_0
-0.17539066,-0.0019349789,chain_0
-0.1836982,-0.006190463,chain_0
-0.18108343,-0.0075476496,chain_0
-0.19605847,-0.013864482,chain_0
-0.19266775,-0.013211133,chain_0
-0.18659969,-0.00603439,chain_0
-0.19396617,-0.0055900365,chain_0
-0.19969976,-0.007830591,chain_0
-0.19594708,-0.006474138,chain_0
-0.19814023,-0.0069348095,chain_0
-0.19399343,-0.0062974403,chain_0
-0.20109583,-0.006735325,chain_0
-0.18476918,-0.007534083,chain_0
-0.20182043,-0.0063983435,chain_0
-0.18226837,-0.0056552286,chain_0
-0.18226837,-0.0056552286,chain_0
-0.18331166,-0.0056061205,chain_0
-0.19299747,-0.010212862,chain_0
-0.17540802,-0.007990839,chain_0
-0.20194833,-0.009349205,chain_0
-0.17754301,-0.008447962,chain_0
-0.18811455,-0.008753871,chain_0
-0.17651725,-0.008390191,chain_0
-0.17964579,-0.008700761,chain_0
-0.19083822,-0.012790989,chain_0
-0.19331606,-0.0128754135,chain_0
-0.2029299,-0.0045205588,chain_0
-0.20749356,-0.0064104674,chain_0
-0.2055951,-0.007750746,chain_0
-0.1997285,-0.009509444,chain_0
-0.19553058,-0.01010439,chain_0
-0.20870183,-0.010097366,chain_0
-0.17700958,-0.007982541,chain_0
-0.18475212,-0.009809431,chain_0
-0.18273713,-0.005766064,chain_0
-0.18621323,-0.0070191678,chain_0
-0.1921072,-0.011675663,chain_0
-0.17838295,-0.0068190284,chain_0
-0.19141991,-0.010601363,chain_0
-0.19188668,-0.010403216,chain_0
-0.19658169,-0.0073059257,chain_0
-0.17990033,-0.008794391,chain_0
-0.17331098,-0.008495993,chain_0
-0.20066161,-0.009423365,chain_0
-0.1920505,-0.010636425,chain_0
-0.19766101,-0.0068586003,chain_0
-0.19656813,-0.00481458,chain_0
-0.19118917,-0.0042726086,chain_0
-0.19118917,-0.0042726086,chain_0
-0.19810098,-0.0069402186,chain_0
-0.18112366,-0.0068252515,chain_0
-0.19010073,-0.011660881,chain_0
-0.19106747,-0.011245479,chain_0
-0.20269974,-0.0029585727,chain_0
-0.22137024,-0.009581848,chain_0
-0.22447525,-0.009423253,chain_0
-0.20967396,-0.0057440475,chain_0
-0.18851557,-0.007183501,chain_0
-0.1892294,-0.004561157,chain_0
-0.20934168,-0.0072695883,chain_0
-0.20776565,-0.0074506155,chain_0
-0.1999783,-0.00968267,chain_0
-0.18669827,-0.01004082,chain_0
-0.18190664,-0.0045234235,chain_0
-0.18326858,-0.007934941,chain_0
-0.19309004,-0.0058945003,chain_0
-0.18303323,-0.006695397,chain_0
-0.18441805,-0.0076837307,chain_0
-0.19193968,-0.008608719,chain_0
-0.1978237,-0.00876971,chain_0
-0.18042248,-0.0071687116,chain_0
-0.17802061,-0.0085801175,chain_0
-0.19568871,-0.0051508634,chain_0
-0.2005014,-0.009795301,chain_0
-0.18450938,-0.0070970114,chain_0
-0.18323848,-0.006846772,chain_0
-0.19402586,-0.0090588005,chain_0
-0.19403827,-0.010831525,chain_0
-0.19828625,-0.00480228,chain_0
-0.19828625,-0.00480228,chain_0
-0.19952004,-0.0037133144,chain_0
-0.19742799,-0.010889873,chain_0
-0.18644176,-0.005611646,chain_0
-0.2131705,-0.007200304,chain_0
-0.1806492,-0.013336334,chain_0
-0.19994393,-0.011851755,chain_0
-0.19646002,-0.00851522,chain_0
-0.19133765,-0.0056778686,chain_0
-0.19249669,-0.007303123,chain_0
-0.20019701,-0.006276507,chain_0
-0.1895286,-0.0090130735,chain_0
-0.18217605,-0.008900633,chain_0
-0.20180792,-0.006172592,chain_0
-0.18542472,-0.0070707942,chain_0
-0.17834303,-0.008984756,chain_0
-0.20861188,-0.0071508344,chain_0
-0.18943015,-0.008339775,chain_0
-0.20477235,-0.008155915,chain_0
-0.20531309,-0.008337155,chain_0
-0.20936234,-0.006200667,chain_0
-0.21298616,-0.006068814,chain_0
-0.21448235,-0.0056431047,chain_0
-0.21148314,-0.005286136,chain_0
-0.18791625,-0.011613416,chain_0
-0.17456381,-0.0051958635,chain_0
-0.18417199,-0.0084072,chain_0
-0.18509038,-0.0067462255,chain_0
-0.19703646,-0.005422619,chain_0
-0.19706649,-0.005289103,chain_0
-0.19759825,-0.005481203,chain_0
-0.18999943,-0.0066732345,chain_0
-0.19153535,-0.0064773737,chain_0
-0.20320088,-0.0077729877,chain_0
-0.18098715,-0.009791117,chain_0
-0.18632556,-0.0065734,chain_0
-0.197417,-0.008004038,chain_0
-0.20259675,-0.00644512,chain_0
-0.20259675,-0.00644512,chain_0
-0.18988144,-0.005111457,chain_0
-0.19800018,-0.0081202015,chain_0
-0.19338533,-0.0052450676,chain_0
-0.19338533,-0.0052450676,chain_0
-0.20688295,-0.009980232,chain_0
-0.2042475,-0.0091087995,chain_0
-0.2042475,-0.0091087995,chain_0
-0.1914198,-0.003559821,chain_0
-0.1914198,-0.003559821,chain_0
-0.20827858,-0.007438761,chain_0
-0.20822413,-0.0053465674,chain_0
-0.20898113,-0.006027858,chain_0
-0.18776165,-0.00728854,chain_0
-0.19179404,-0.008825764,chain_0
-0.18492131,-0.009713639,chain_0
-0.19601241,-0.003214972,chain_0
-0.1812174,-0.011563088,chain_0
-0.17668894,-0.010974016,chain_0
-0.16717613,-0.007937519,chain_0
-0.19012284,-0.0068146395,chain_0
-0.20450422,-0.0064725517,chain_0
-0.19438304,-0.0071932087,chain_0
-0.20927486,-0.0072127464,chain_0
-0.19936751,-0.003652776,chain_0
-0.19831154,-0.0035078267,chain_0
-0.20478113,-0.0072660465,chain_0
-0.18448766,-0.01091385,chain_0
-0.20393662,-0.0038120383,chain_0
-0.19592546,-0.005429394,chain_0
-0.19344246,-0.0064030495,chain_0
-0.1947847,-0.0060053538,chain_0
-0.20722748,-0.008664041,chain_0
-0.20819768,-0.009298699,chain_0
-0.21012889,-0.010427599,chain_0
-0.21489027,-0.0069366833,chain_0
-0.19483878,-0.005647959,chain_0
-0.19571733,-0.008510046,chain_0
-0.19080198,-0.012008112,chain_0
-0.18982114,-0.0054365774,chain_0
-0.20273542,-0.010785619,chain_0
-0.18367037,-0.009320265,chain_0
-0.19422777,-0.006350109,chain_0
-0.18918902,-0.009109492,chain_0
-0.19361192,-0.007035688,chain_0
-0.19060245,-0.011862229,chain_0
-0.18896994,-0.012079401,chain_0
-0.20050335,-0.009649584,chain_0
-0.19234596,-0.01065909,chain_0
-0.21417446,-0.008056734,chain_0
-0.18948764,-0.004322595,chain_0
-0.18932201,-0.008402949,chain_0
-0.19941995,-0.0059478255,chain_0
-0.19510955,-0.011693091,chain_0
-0.21268728,-0.0074209757,chain_0
-0.21915609,-0.005768871,chain_0
-0.19535108,-0.0053001787,chain_0
-0.19043505,-0.008980196,chain_0
-0.18766458,-0.0066082156,chain_0
-0.19452538,-0.0073475973,chain_0
-0.1879891,-0.0070015914,chain_0
-0.20447509,-0.0040815603,chain_0
-0.20060492,-0.008722432,chain_0
-0.20086786,-0.005475863,chain_0
-0.19641754,-0.00599338,chain_0
-0.19524091,-0.002502362,chain_0
-0.1897296,-0.009868315,chain_0
-0.20332962,-0.0100399135,chain_0
-0.2029267,-0.0046487697,chain_0
-0.18602388,-0.0062906677,chain_0
-0.19078436,-0.008713773,chain_0
-0.1875388,-0.008407365,chain_0
-0.18593538,-0.008619219,chain_0
-0.19812003,-0.007906616,chain_0
-0.20172001,-0.0067619015,chain_0
-0.18828765,-0.006382799,chain_0
-0.1969171,-0.011210837,chain_0
-0.20693849,-0.011495317,chain_0
-0.20164992,-0.00787135,chain_0
-0.19054857,-0.0055948407,chain_0
-0.20175806,-0.009355884,chain_0
-0.18767224,-0.0044956356,chain_0
-0.189776,-0.009730614,chain_0
-0.18403675,-0.009722558,chain_0
-0.20605046,-0.00964406,chain_0
-0.18073128,-0.009523315,chain_0
-0.20300597,-0.0113450205,chain_0
-0.20427175,-0.011147687,chain_0
-0.21257968,-0.0034761343,chain_0
-0.18400119,-0.003709784,chain_0
-0.19157726,-0.003585999,chain_0
-0.19934945,-0.01015421,chain_0
-0.17833288,-0.008172916,chain_0
-0.20638077,-0.0060129887,chain_0
-0.20891152,-0.0065885554,chain_0
-0.21173772,-0.0065455125,chain_0
-0.20031059,-0.01034934,chain_0
-0.1883865,-0.0058239405,chain_0
-0.19256632,-0.0088803135,chain_0
-0.1891728,-0.0066742385,chain_0
-0.18904318,-0.008517423,chain_0
-0.19196321,-0.008203029,chain_0
-0.17940815,-0.0083269,chain_0
-0.20384635,-0.004848025,chain_0
-0.20325409,-0.0035078393,chain_0
-0.19808072,-0.004885737,chain_0
-0.1901502,-0.007935193,chain_0
-0.19695896,-0.005699693,chain_0
-0.19695896,-0.005699693,chain_0
-0.21130371,-0.006137158,chain_0
-0.19473234,-0.005952549,chain_0
-0.19890958,-0.0059626177,chain_0
-0.20190346,-0.006857004,chain_0
-0.18634516,-0.0066137444,chain_0
-0.20138763,-0.0063808574,chain_0
-0.20609422,-0.011842033,chain_0
-0.20284458,-0.0084717665,chain_0
-0.20187001,-0.0024758275,chain_0
-0.19646607,-0.0043145916,chain_0
-0.19214898,-0.0046930294,chain_0
-0.19458249,-0.005820877,chain_0
-0.19011103,-0.006194032,chain_0
-0.1934911,-0.0070054214,chain_0
-0.1968356,-0.0069987867,chain_0
-0.18863487,-0.0076503707,chain_0
-0.19809937,-0.0061950586,chain_0
-0.19095458,-0.006880573,chain_0
-0.18286549,-0.0066122166,chain_0
-0.17883697,-0.0071160574,chain_0
-0.19333865,-0.00803616,chain_0
-0.18280986,-0.0066147475,chain_0
-0.21867378,-0.0066784527,chain_0
-0.17691971,-0.0044947336,chain_0
-0.19414254,-0.011896901,chain_0
-0.18464006,-0.0065753357,chain_0
-0.18638016,-0.0049817236,chain_0
-0.18859707,-0.005222093,chain_0
-0.19644251,-0.0068705687,chain_0
-0.1893952,-0.011737127,chain_0
-0.17319055,-0.0083242515,chain_0
-0.19476134,-0.0064340634,chain_0
-0.20845921,-0.0063441936,chain_0
-0.19147897,-0.008982501,chain_0
-0.1943925,-0.008006593,chain_0
-0.19577979,-0.00550254,chain_0
-0.19517463,-0.007802047,chain_0
-0.18447936,-0.0036798143,chain_0
-0.18081547,-0.0057142377,chain_0
-0.19820815,-0.0058887424,chain_0
-0.18628643,-0.013424887,chain_0
-0.19373514,-0.015462652,chain_0
-0.17628884,-0.008480391,chain_0
-0.19827414,-0.0080505805,chain_0
-0.18156697,-0.009087808,chain_0
-0.18381885,-0.009913105,chain_0
-0.1819863,-0.010327854,chain_0
-0.19006903,-0.010110591,chain_0
-0.19882268,-0.012472237,chain_0
-0.19044706,-0.0047147437,chain_0
-0.19328183,-0.009884411,chain_0
-0.18999106,-0.0048072455,chain_0
-0.18326691,-0.007300528,chain_0
-0.1973045,-0.0042855646,chain_0
-0.20647912,-0.009027841,chain_0
-0.20480862,-0.0071294094,chain_0
-0.19070226,-0.00841841,chain_0
-0.19194002,-0.004883235,chain_0
-0.19107358,-0.008605398,chain_0
-0.19462731,-0.012670558,chain_0
-0.18901132,-0.009885147,chain_0
-0.20288093,-0.01003948,chain_0
-0.19760059,-0.009282999,chain_0
-0.19918393,-0.006592611,chain_0
-0.21025887,-0.011796119,chain_0
-0.20899488,-0.003166066,chain_0
-0.19550171,-0.0075924443,chain_0
-0.18510978,-0.008820909,chain_0
-0.20328142,-0.0052901376,chain_0
-0.18289827,-0.009390871,chain_0
-0.20324954,-0.007206223,chain_0
-0.19880663,-0.0036348284,chain_0
-0.19009353,-0.0113107255,chain_0
-0.20026843,-0.011771522,chain_0
-0.18305497,-0.0037966901,chain_0
-0.18305497,-0.0037966901,chain_0
-0.18305497,-0.0037966901,chain_0
-0.21005291,-0.0070595937,chain_0
-0.19192545,-0.0056695896,chain_0
-0.20287877,-0.00364203,chain_0
-0.20191534,-0.005089917,chain_0
-0.21159354,-0.0069405455,chain_0
-0.19843943,-0.0056276983,chain_0
-0.19195876,-0.0054064468,chain_0
-0.20605333,-0.004568888,chain_0
-0.21062899,-0.006951273,chain_0
-0.20519337,-0.0057623107,chain_0
-0.19473316,-0.007484187,chain_0
-0.19169058,-0.005666908,chain_0
-0.1902978,-0.0050621717,chain_0
-0.19056827,-0.0056137447,chain_0
-0.20262893,-0.0075211544,chain_0
